check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-24T06:56:23.827559+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-24T06:56:23.827574+05:30
tls,pass,TLS certificate valid,,2026-09-24T06:56:23.836329+05:30
http,pass,Probe 1: HTTP 200 at https://thriposha.lk/,https://thriposha.lk/,2026-09-24T06:56:39.311379+05:30
http,pass,Probe 2: HTTP 200 at http://thriposha.lk/,http://thriposha.lk/,2026-09-24T06:56:39.311395+05:30
http,pass,Probe 3: HTTP 200 at https://thriposha.lk/,https://thriposha.lk/,2026-09-24T06:56:39.311400+05:30
http,pass,Probe 4: HTTP 200 at http://thriposha.lk/,http://thriposha.lk/,2026-09-24T06:56:39.311404+05:30
http,pass,Probe 5: HTTP 200 at https://thriposha.lk/Thriposha/index.php,https://thriposha.lk/Thriposha/index.php,2026-09-24T06:56:39.311407+05:30
http,pass,Probe 6: HTTP 200 at https://thriposha.lk/suposha/index.php,https://thriposha.lk/suposha/index.php,2026-09-24T06:56:39.311410+05:30
http,pass,Probe 7: HTTP 200 at http://thriposha.lk/Thriposha/index.php,http://thriposha.lk/Thriposha/index.php,2026-09-24T06:56:39.311413+05:30
http,pass,Probe 8: HTTP 200 at http://thriposha.lk/suposha/index.php,http://thriposha.lk/suposha/index.php,2026-09-24T06:56:39.311415+05:30
http,pass,Probe 9: HTTP 200 at https://thriposha.lk/Thriposha/our-services.php,https://thriposha.lk/Thriposha/our-services.php,2026-09-24T06:56:39.311418+05:30
http,pass,Probe 10: HTTP 200 at https://thriposha.lk/Thriposha/contact.php,https://thriposha.lk/Thriposha/contact.php,2026-09-24T06:56:39.311421+05:30
http,pass,Probe 11: HTTP 200 at https://thriposha.lk/Thriposha/about.php,https://thriposha.lk/Thriposha/about.php,2026-09-24T06:56:39.311424+05:30
http,pass,Probe 12: HTTP 200 at https://thriposha.lk/Thriposha/directors.php,https://thriposha.lk/Thriposha/directors.php,2026-09-24T06:56:39.311427+05:30
http,pass,Probe 13: HTTP 200 at https://thriposha.lk/Thriposha/management.php,https://thriposha.lk/Thriposha/management.php,2026-09-24T06:56:39.311430+05:30
http,pass,Probe 14: HTTP 200 at https://thriposha.lk/Thriposha/certificates.php,https://thriposha.lk/Thriposha/certificates.php,2026-09-24T06:56:39.311432+05:30
phone,pass,Published phone: 0112 - 236588,https://thriposha.lk/Thriposha/index.php,
phone,pass,Published phone: +8801682648101,https://thriposha.lk/Thriposha/index.php,
phone,pass,Published phone: 23055873407,https://thriposha.lk/Thriposha/index.php,
phone,pass,Published phone: 0112236588 ,https://thriposha.lk/Thriposha/index.php,
named_responsibility,pass,Published named responsibility: director,https://thriposha.lk/Thriposha/index.php,
