check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-19T06:20:44.085474+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-19T06:20:44.085495+05:30
tls,pass,TLS certificate valid,,2026-09-19T06:20:47.036479+05:30
http,pass,Probe 1: HTTP 200 at https://www.dwc.gov.lk/,https://www.dwc.gov.lk/,2026-09-19T06:21:52.314710+05:30
http,pass,Probe 2: HTTP 200 at https://www.dwc.gov.lk/,http://www.dwc.gov.lk/,2026-09-19T06:21:52.314733+05:30
http,pass,Probe 3: HTTP 200 at https://www.dwc.gov.lk/,https://www.dwc.gov.lk/,2026-09-19T06:21:52.314736+05:30
http,pass,Probe 4: HTTP 200 at https://www.dwc.gov.lk/,http://www.dwc.gov.lk/,2026-09-19T06:21:52.314738+05:30
http,pass,Probe 5: HTTP 200 at https://www.dwc.gov.lk/?page_id=257,https://www.dwc.gov.lk/?page_id=257,2026-09-19T06:21:52.314741+05:30
http,pass,Probe 6: HTTP 200 at https://www.dwc.gov.lk/?page_id=207,https://www.dwc.gov.lk/?page_id=207,2026-09-19T06:21:52.314743+05:30
http,pass,Probe 7: HTTP 200 at https://www.dwc.gov.lk/?page_id=203,https://www.dwc.gov.lk/?page_id=203,2026-09-19T06:21:52.314745+05:30
http,pass,Probe 8: HTTP 200 at https://www.dwc.gov.lk/?page_id=416,https://www.dwc.gov.lk/?page_id=416,2026-09-19T06:21:52.314748+05:30
http,pass,Probe 9: HTTP 200 at https://www.dwc.gov.lk/?page_id=951,https://www.dwc.gov.lk/?page_id=951,2026-09-19T06:21:52.314750+05:30
http,pass,Probe 10: HTTP 200 at https://www.dwc.gov.lk/?page_id=72,https://www.dwc.gov.lk/?page_id=72,2026-09-19T06:21:52.314753+05:30
http,pass,Probe 11: HTTP 200 at https://www.dwc.gov.lk/?page_id=104,https://www.dwc.gov.lk/?page_id=104,2026-09-19T06:21:52.314755+05:30
http,pass,Probe 12: HTTP 200 at https://www.dwc.gov.lk/?p=945,https://www.dwc.gov.lk/?p=945,2026-09-19T06:21:52.314757+05:30
http,pass,Probe 13: HTTP 200 at https://www.dwc.gov.lk/?p=936,https://www.dwc.gov.lk/?p=936,2026-09-19T06:21:52.314760+05:30
http,pass,Probe 14: HTTP 200 at https://www.dwc.gov.lk/?p=914,https://www.dwc.gov.lk/?p=914,2026-09-19T06:21:52.314762+05:30
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/?page_id=257,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/?page_id=257,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/?page_id=257,
named_responsibility,pass,Published named responsibility: director,https://www.dwc.gov.lk/?page_id=257,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.dwc.gov.lk/?page_id=257,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/?page_id=207,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/?page_id=207,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/?page_id=207,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/?page_id=207,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/?page_id=203,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/?page_id=203,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/?page_id=203,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/?page_id=203,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/?page_id=416,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/?page_id=416,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/?page_id=416,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/?page_id=416,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/?page_id=951,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/?page_id=951,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/?page_id=951,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/?page_id=951,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/?page_id=72,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/?page_id=72,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/?page_id=72,
named_responsibility,pass,Published named responsibility: director,https://www.dwc.gov.lk/?page_id=72,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/?page_id=104,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/?page_id=104,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/?page_id=104,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/?page_id=104,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/?p=945,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/?p=945,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/?p=945,
postal_address,pass,"Published postal address: will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in",https://www.dwc.gov.lk/?p=945,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/?p=945,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/?p=936,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/?p=936,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/?p=936,
postal_address,pass,"Published postal address: will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in",https://www.dwc.gov.lk/?p=936,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/?p=936,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/?p=914,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/?p=914,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/?p=914,
postal_address,pass,"Published postal address: will not be published. Required fields are marked * Comment * Name * Email * Website Save my name, email, and website in",https://www.dwc.gov.lk/?p=914,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/?p=914,
page_text,pass,Substantive page content: 6916 visible characters across 14 pages,https://www.dwc.gov.lk/,
